trial_id	run_path	giga_image	vrb_image	is_annotated	num_same	giga_pos_modes	giga_dir_modes	giga_num_false_positives	vrb_pos_modes	vrb_dir_modes	vrb_num_false_positives	corrupted
23-12-07-04-17-30_round_000_trial_001	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30/vrb/round_000_trial_000.png	True	1.0	0,1,0,1	0,1,0,0	0.0	3,3,0,0	2,2,0,0	0.0	False
23-12-07-04-17-30_round_000_trial_002	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30/vrb/round_000_trial_001.png	True	2.0	1,0,1	0,0,1	0.0	3,0,3	2,0,1	0.0	False
23-12-07-04-17-30_round_000_trial_004	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30/grasp_images/round_000_trial_002.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30/vrb/round_000_trial_002.png	True	2.0	1,1	0,1	0.0	3,1	1,1	0.0	False
23-12-07-04-17-30_round_000_trial_000	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30/grasp_images/round_000_trial_003.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30/vrb/round_000_trial_003.png	True	0.0	0	1	0.0	3	1	0.0	False
23-12-07-04-17-30_round_000_trial_003	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30/grasp_images/round_000_trial_004.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-30/vrb/round_000_trial_004.png	True	0.0	0	0	0.0	1	4	0.0	False
23-12-07-04-17-36_round_000_trial_001	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36/vrb/round_000_trial_000.png	True	1.0	0,0,0,0,2	0,0,0,0,1	0.0	2,0,0,1,3	2,0,0,1,1	0.0	False
23-12-07-04-17-36_round_000_trial_000	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36/vrb/round_000_trial_000.png	True	1.0	0,0,0,0,2	0,0,0,0,1	0.0	2,0,0,1,2	2,0,0,1,1	0.0	False
23-12-07-04-17-36_round_000_trial_002	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36/grasp_images/round_000_trial_002.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36/vrb/round_000_trial_002.png	True	1.0	0,0,4	0,0,1	0.0	1,1,1	1,3,1	0.0	False
23-12-07-04-17-36_round_000_trial_004	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36/grasp_images/round_000_trial_003.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36/vrb/round_000_trial_003.png	True	0.0	0,0	0,1	0.0	1,1	1,2	0.0	False
23-12-07-04-17-36_round_000_trial_003	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36/grasp_images/round_000_trial_004.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-36/vrb/round_000_trial_004.png	True	0.0	0	0	0.0	0	1	0.0	False
23-12-07-04-16-08_round_000_trial_000	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-08	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-08/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-08/vrb/round_000_trial_000.png	True	3.0	1,2,0,2	1,1,0,0	0.0	1,1,0,3	1,2,,0,1	0.0	False
23-12-07-04-16-08_round_000_trial_003	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-08	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-08/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-08/vrb/round_000_trial_001.png	True	2.0	2,0,2	1,0,0	0.0	1,0,3	1,0,1	0.0	False
23-12-07-04-16-08_round_000_trial_002	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-08	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-08/grasp_images/round_000_trial_002.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-08/vrb/round_000_trial_002.png	True	1.0	0,1	0,1	0.0	1,3	2,1	0.0	False
23-12-07-04-16-08_round_000_trial_001	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-08	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-08/grasp_images/round_000_trial_003.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-08/vrb/round_000_trial_003.png	True	0.0	0	1	0.0	1	3	0.0	False
23-12-07-04-16-15_round_000_trial_001	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-15	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-15/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-15/vrb/round_000_trial_001.png	True	0.0	0,0,0,0	0,0,0,1	0.0	1,1,0,1	1,1,0,1	1.0	False
23-12-07-04-16-15_round_000_trial_002	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-15	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-15/grasp_images/round_000_trial_002.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-15/vrb/round_000_trial_002.png	True	1.0	0,1,1	0,1,0	0.0	1,1,0	2,2,0	0.0	False
23-12-07-04-16-15_round_000_trial_004	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-15	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-15/grasp_images/round_000_trial_003.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-15/vrb/round_000_trial_003.png	True	0.0	0,0	0,1	0.0	1,3	1,2	0.0	False
23-12-07-04-16-15_round_000_trial_003	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-15	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-15/grasp_images/round_000_trial_004.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-15/vrb/round_000_trial_004.png	True	0.0	0,0	0,1	0.0	2,3	1,1	0.0	False
23-12-07-04-16-22_round_000_trial_000	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-22	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-22/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-22/vrb/round_000_trial_000.png	True	2.0	3,1,3,0,0	2,0,1,0,0	0.0	1,0,3,0,0	1,0,2,0,0	0.0	False
23-12-07-04-16-22_round_000_trial_002	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-22	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-22/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-22/vrb/round_000_trial_001.png	True	1.0	0,2,0,0	0,1,0,0	0.0	3,2,0,0	2,1,0,0	0.0	False
23-12-07-04-16-22_round_000_trial_001	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-22	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-22/grasp_images/round_000_trial_002.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-22/vrb/round_000_trial_002.png	True	0.0	0,0,0	0,0,0	0.0	3,1,0	2,1,0	0.0	False
23-12-07-04-17-41_round_000_trial_000	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-41	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-41/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-41/vrb/round_000_trial_000.png	True	3.0	0,1,0,1,1	0,1,0,0,1	0.0	0,1,0,1,3	0,1,0,1,1	0.0	False
23-12-07-04-17-41_round_000_trial_001	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-41	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-41/grasp_images/round_000_trial_001.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-41/vrb/round_000_trial_001.png	True	2.0	0,1,0,1	0,1,0,1	0.0	0,1,1,1	0,2,1,2	0.0	False
23-12-07-04-17-41_round_000_trial_002	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-41	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-41/grasp_images/round_000_trial_002.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-41/vrb/round_000_trial_002.png	True	2.0	0,1,1	0,1,0	0.0	0,2,1	0,4,1	0.0	False
23-12-07-04-17-41_round_000_trial_004	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-41	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-41/grasp_images/round_000_trial_003.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-41/vrb/round_000_trial_003.png	True	1.0	0,1	0,1	0.0	0,2	0,3	0.0	False
23-12-07-04-17-41_round_000_trial_003	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-41	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-41/grasp_images/round_000_trial_004.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-41/vrb/round_000_trial_004.png	True	0.0	0	1	0.0	1	3	0.0	False
23-12-07-04-17-41_round_000_trial_005	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-41	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-41/grasp_images/round_000_trial_005.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-17-41/vrb/round_000_trial_005.png	True	0.0	0	1	0.0	1	5	0.0	False
23-12-07-04-16-15_round_000_trial_000	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-15	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-15/grasp_images/round_000_trial_000.png	/Users/ishangaur/affordance-bench/experiments/23-12-07-04-16-15/vrb/round_000_trial_000.png	False		3,0,0,0,0	1,0,0,0,0	0.0	2,2	1,1	0.0	True
